gene,log2FoldChange,pvalue,padj,-log10(pvalue),significance
9237,31.596829778952113,6.05139281597821e-10,4.530677801322886e-06,9.218144654657296,significant
7353,275.9328063108882,1.8141232999600434e-09,6.791170573400423e-06,8.741333198713372,significant
7658,10.90737864672764,1.6455717498433065e-08,4.1067985636922785e-05,7.783683176948041,significant
12185,40.547593145085315,5.72477559858873e-08,0.00010715348726658455,7.242241532255267,significant
26017,22.50230486371292,9.311193960547278e-08,0.00013942581836523494,7.030994626512677,significant
14313,-270.2446976701071,1.8449494895788463e-07,0.0001450564586642685,6.734015519313846,significant
7804,-48.77645131253789,1.937444352401075e-07,0.0001450564586642685,6.712770762520858,significant
6698,17.21540010630425,1.864978681917792e-07,0.0001450564586642685,6.729326128133247,significant
1982,27.712821083539865,1.4238816377902732e-07,0.0001450564586642685,6.846526110552399,significant
36963,36.571603963228995,1.8499326827827067e-07,0.0001450564586642685,6.732844074855325,significant
19201,-45.80784994874625,2.9736607925486267e-07,0.00020239816685283242,6.526708573247234,significant
6591,17.414380745496413,3.348023151394404e-07,0.0002088887444540825,6.475211547546139,significant
10974,-6.325466914682555,7.418578576349316e-07,0.00039790531417462023,6.129679298977587,significant
4286,193.82794978979334,7.440462666548261e-07,0.00039790531417462023,6.128400058099086,significant
3221,14.392713109696555,1.3647093270100825e-06,0.0006811719154216325,5.864959840285094,significant
4952,-25.122515144154,2.3012592244879183e-06,0.0009143273186720104,5.638034457635708,significant
2254,-10.992573311874626,2.3203177580831035e-06,0.0009143273186720104,5.63445253617275,significant
3672,13.09386988471674,2.06924044028062e-06,0.0009143273186720104,5.684189042529002,significant
2611,345.08814919181725,2.2561739316152924e-06,0.0009143273186720104,5.646627423026892,significant
6069,11.77462723846497,2.793685781126139e-06,0.0009960154972995907,5.55382244260161,significant
7011,12.81443005325492,2.7457698911122918e-06,0.0009960154972995907,5.561335861566697,significant
32362,-13.420178393083955,3.852181421851971e-06,0.0013109673775184411,5.414293267587528,significant
6072,-28.42571539399484,5.3476644735956774e-06,0.001533297782035822,5.2718358493227635,significant
6598,-14.746311516167953,5.734251088153201e-06,0.001533297782035822,5.241523294331295,significant
2459,-6.690782194342944,5.118359592034184e-06,0.001533297782035822,5.290869205875522,significant
12243,-6.252484269629787,5.70836179024513e-06,0.001533297782035822,5.243488509536403,significant
10192,5.046290815770696,5.468402474844016e-06,0.001533297782035822,5.262139528820505,significant
11945,15.828545583096355,5.646477182886039e-06,0.001533297782035822,5.248222422480775,significant
6326,-21.044924903942416,6.997563707494067e-06,0.0017471193599488794,5.155053138922939,significant
14448,5.480843496523734,7.0006118336404945e-06,0.0017471193599488794,5.15486400221972,significant
13553,-11.712686827865479,9.409318227698437e-06,0.0022725021151863934,5.026441843169463,significant
12991,-11.423021994996287,1.0445191349049746e-05,0.002443848363447983,4.981083599620941,significant
6488,10.342866559168964,1.1441574028124214e-05,0.002519501904369588,4.941514225131686,significant
4348,22.855234197414717,1.1314449995566631e-05,0.002519501904369588,4.946366552597103,significant
3981,-6.745386292069923,1.2248260476227395e-05,0.0025472979495976254,4.911925586337771,significant
14373,-4.577574027177644,1.1914016484335445e-05,0.0025472979495976254,4.923941803343187,significant
2395,4.697625783352883,1.372119647162582e-05,0.0027765026481908787,4.862608017028026,significant
9725,-10.418565492598827,1.5865042872973704e-05,0.003125830947104056,4.799558749944234,significant
3699,7.464094725808842,1.749233920391482e-05,0.003353316694248874,4.757152109593811,significant
1237,75.5821334648997,1.7915409078396548e-05,0.003353316694248874,4.746773270754252,significant
21363,-11.927323722196311,1.961117958592999e-05,0.0035811927209721426,4.707496283320828,significant
2333,11.918106724920076,2.1142383326706672e-05,0.00370617264118131,4.674846057364688,significant
6968,22.272713877998907,2.1285618214344375e-05,0.00370617264118131,4.671913731759834,significant
7701,10.095273610562387,2.4599180837458848e-05,0.004185774248410327,4.6090793548354325,significant
14294,-14.447085261517856,2.8093956666769393e-05,0.0046742100792022765,4.551387091786858,significant
7456,-30.470402495219417,2.9454999804108467e-05,0.004703585372808475,4.530840975816279,significant
19294,8.243772811339358,2.9526981771336755e-05,0.004703585372808475,4.52978094406255,significant
3903,64.1213838498783,3.1261034072850374e-05,0.004876070043821474,4.504996660203427,significant
2242,14.561341222080108,3.26841834140908e-05,0.004896769836317754,4.485662361032605,significant
4654,22.800824035809743,3.270181538879227e-05,0.004896769836317754,4.485428137509413,significant
